id,Unemployment Rate,African_American,Hispanic,White,Men,Women,College Degreed,High School Degreed,No High School Degreed,date,president,party
0,3.9,7.4,5.7,3.5,4,3.8,1.5,3.5,5.9,12/1/2000,Bill Clinton,Democrat
1,4.2,8.2,5.8,3.6,4.2,4.1,1.6,3.8,6.7,1/1/2001,Bill Clinton,Democrat
2,4.2,7.7,6.1,3.7,4.3,4.2,1.6,3.7,7.5,2/1/2001,George W. Bush,Republican
3,4.3,8.3,6.2,3.7,4.3,4.2,2,3.8,6.8,3/1/2001,George W. Bush,Republican
4,4.4,8,6.4,3.9,4.5,4.3,2.1,3.7,6.8,4/1/2001,George W. Bush,Republican
5,4.3,7.9,6.3,3.8,4.4,4.2,2.1,3.9,6.6,5/1/2001,George W. Bush,Republican
6,4.5,8.3,6.6,4,4.6,4.4,2.2,3.8,6.9,6/1/2001,George W. Bush,Republican
7,4.6,8,6.2,4,4.6,4.5,2.2,4.1,6.8,7/1/2001,George W. Bush,Republican
8,4.9,9.1,6.5,4.3,5,4.8,2.3,4.4,7.2,8/1/2001,George W. Bush,Republican
9,5,8.9,6.7,4.3,4.9,5,2.5,4.4,7.7,9/1/2001,George W. Bush,Republican
10,5.3,9.5,7.1,4.7,5.4,5.2,2.6,4.7,7.6,10/1/2001,George W. Bush,Republican
11,5.5,9.8,7.3,4.9,5.7,5.4,2.9,5,8,11/1/2001,George W. Bush,Republican
12,5.7,10.1,7.7,5.1,5.8,5.7,3,4.9,8.3,12/1/2001,George W. Bush,Republican
13,5.7,10,7.8,5.1,5.8,5.5,2.9,5.3,8.2,1/1/2002,George W. Bush,Republican
14,5.7,9.9,7,5,5.8,5.5,2.9,5.3,8.3,2/1/2002,George W. Bush,Republican
15,5.7,10.5,7.5,5,5.9,5.6,2.8,5.4,8.1,3/1/2002,George W. Bush,Republican
16,5.9,10.7,8,5.2,6,5.9,2.9,5.5,9.1,4/1/2002,George W. Bush,Republican
17,5.8,10.2,7.1,5.1,5.8,5.7,2.9,5.5,8.3,5/1/2002,George W. Bush,Republican
18,5.8,10.5,7.4,5.1,6,5.6,3,5.4,7.8,6/1/2002,George W. Bush,Republican
19,5.8,9.8,7.4,5.2,5.9,5.7,3,5.1,8.6,7/1/2002,George W. Bush,Republican
20,5.7,9.8,7.5,5.1,5.9,5.5,2.8,5.2,8.4,8/1/2002,George W. Bush,Republican
21,5.7,9.7,7.4,5.1,5.9,5.5,2.9,5,7.8,9/1/2002,George W. Bush,Republican
22,5.7,9.8,7.9,5.1,5.8,5.6,3,4.9,8.7,10/1/2002,George W. Bush,Republican
23,5.9,10.7,7.8,5.1,6.1,5.6,2.9,5.2,9,11/1/2002,George W. Bush,Republican
24,6,11.3,7.9,5.1,6.2,5.7,2.9,5.3,8.9,12/1/2002,George W. Bush,Republican
25,5.8,10.5,7.9,5.2,6.2,5.4,3,5.2,8.8,1/1/2003,George W. Bush,Republican
26,5.9,10.7,7.7,5.1,6.1,5.6,3,5.4,8.9,2/1/2003,George W. Bush,Republican
27,5.9,10.3,7.8,5.1,6.1,5.7,3.1,5.5,8.6,3/1/2003,George W. Bush,Republican
28,6,10.9,7.6,5.3,6.4,5.7,3,5.7,8.5,4/1/2003,George W. Bush,Republican
29,6.1,10.9,8,5.4,6.4,5.7,3,5.6,9,5/1/2003,George W. Bush,Republican
30,6.3,11.5,8.3,5.5,6.7,5.9,3.1,5.7,9.4,6/1/2003,George W. Bush,Republican
31,6.2,10.9,8,5.4,6.6,5.7,3.1,5.4,8.8,7/1/2003,George W. Bush,Republican
32,6.1,10.9,7.7,5.4,6.3,5.8,3.2,5.4,9.3,8/1/2003,George W. Bush,Republican
33,6.1,11.1,7.3,5.3,6.4,5.8,3.2,5.3,8.6,9/1/2003,George W. Bush,Republican
34,6,11.4,7.5,5.1,6.2,5.7,3.1,5.5,9,10/1/2003,George W. Bush,Republican
35,5.8,10.2,7.4,5.2,6.2,5.4,3.1,5.3,8.7,11/1/2003,George W. Bush,Republican
36,5.7,10.1,6.7,5,5.8,5.6,3,5.4,7.9,12/1/2003,George W. Bush,Republican
37,5.7,10.4,7.3,5,5.7,5.7,2.9,4.9,9.1,1/1/2004,George W. Bush,Republican
38,5.6,9.7,7.4,4.9,5.6,5.5,2.9,5,8.6,2/1/2004,George W. Bush,Republican
39,5.8,10.3,7.6,5.1,5.8,5.8,2.9,5.3,8.8,3/1/2004,George W. Bush,Republican
40,5.6,9.8,7.1,5,5.7,5.4,2.9,5.3,8.6,4/1/2004,George W. Bush,Republican
41,5.6,10.1,6.9,4.9,5.8,5.4,2.9,5.1,8.8,5/1/2004,George W. Bush,Republican
42,5.6,10.2,6.6,5,5.7,5.6,2.7,5.2,8.7,6/1/2004,George W. Bush,Republican
43,5.5,11,6.8,4.7,5.5,5.5,2.6,5,8.2,7/1/2004,George W. Bush,Republican
44,5.4,10.5,6.8,4.7,5.6,5.2,2.7,4.9,8.1,8/1/2004,George W. Bush,Republican
45,5.4,10.3,6.8,4.6,5.6,5.2,2.6,4.7,8.7,9/1/2004,George W. Bush,Republican
46,5.5,10.8,6.8,4.6,5.6,5.3,2.5,4.8,8.4,10/1/2004,George W. Bush,Republican
47,5.4,10.7,6.7,4.6,5.5,5.2,2.5,4.8,8,11/1/2004,George W. Bush,Republican
48,5.4,10.7,6.6,4.5,5.5,5.1,2.5,4.8,8.1,12/1/2004,George W. Bush,Republican
49,5.3,10.6,6,4.5,5.4,5.1,2.4,4.7,7.7,1/1/2005,George W. Bush,Republican
